paper_key,outcome_idx,outcome_name,treatment,control,outcome_var,metric_type,effect,se,ci_lo,ci_hi,n,direction,outcome_type,notes
lee_chung_2024,6,"Creativity (Exp 2B, ChatGPT-only vs Human)",ChatGPT-only (raw GPT-3.5),Human-only,Creativity (lay),cohens_d,1.88,,1.56,2.2,300,1,individual_creativity,Raw AI alone matches human-AI
lee_chung_2024,7,"Creativity (Exp 2B, Assisted vs Only)",ChatGPT-assisted,ChatGPT-only,Creativity (lay),cohens_d,0,,-0.27,0.28,300,0,individual_creativity,No human-edit value-add; BF=0.15
lee_chung_2024,8,"Creativity (Exp 3, dining table)",ChatGPT,Web search,Creativity (lay),cohens_d,0.37,,0.09,0.66,194,1,individual_creativity,4.60 vs 4.35; p=0.010
lee_chung_2024,9,"Creativity (Exp 4, high constraints)",ChatGPT × High constraints,Web × High constraints,Creativity (lay),cohens_d,0.32,,0.04,0.6,400,1,individual_creativity,p=0.025
lee_chung_2024,10,"Creativity (Exp 4, low constraints)",ChatGPT × Low constraints,Web × Low constraints,Creativity (lay),cohens_d,0.34,,0.06,0.63,400,1,individual_creativity,p=0.017
lee_chung_2024,11,"Creativity (Exp 5, high empathy)",ChatGPT × High empathy,Web × High empathy,Creativity (lay),cohens_d,0.77,,0.48,1.07,383,1,individual_creativity,p=2.44e-7
lee_chung_2024,12,"Creativity (Exp 5, baseline empathy)",ChatGPT × Baseline empathy,Web × Baseline empathy,Creativity (lay),cohens_d,1.01,,0.72,1.3,383,1,individual_creativity,p=1.04e-11
lee_chung_2024,13,Originality sub-score (Exp 1),ChatGPT,Web search,Originality sub-score,cohens_d,0.45,,0.18,0.71,233,1,individual_creativity,
lee_chung_2024,14,Appropriateness sub-score (Exp 1),ChatGPT,Web search,Appropriateness sub-score,cohens_d,0.46,,0.2,0.72,233,1,individual_creativity,
lee_chung_2024,15,Idea quantity (Exp 1),ChatGPT,Web search,Ideas per participant,cohens_d,0.19,,,,233,0,idea_quantity,ns; p=0.149
lee_chung_2024,16,"Creativity (Exp 2B expert, Assisted vs Human)",ChatGPT-assisted,Human-only,Creativity (expert),cohens_d,1.77,,1.46,2.09,300,1,individual_creativity,3.85 vs 2.67; replicates lay result
lee_chung_2024,17,"Creativity (Exp 2B expert, Only vs Human)",ChatGPT-only,Human-only,Creativity (expert),cohens_d,1.81,,1.49,2.12,300,1,individual_creativity,
boussioux_etal_2024,1,Novelty (HAI vs HC mean),Human-AI combined,Human Crowd only,Novelty (1-5 Likert),cohens_d,-0.146,0.035,,,3900,-1,individual_creativity,HC 3.51 vs HAI 3.35; p<0.001
boussioux_etal_2024,2,Strategic Viability (HAI vs HC),Human-AI,Human Crowd,Strategic Viability (1-5),cohens_d,0.078,0.037,,,3900,1,individual_creativity,p=0.016
boussioux_etal_2024,3,Environmental Value (HAI vs HC),Human-AI,Human Crowd,Environmental Value (1-5),cohens_d,0.187,0.029,,,3900,1,individual_creativity,p<0.001
boussioux_etal_2024,4,Financial Value (HAI vs HC),Human-AI,Human Crowd,Financial Value (1-5),cohens_d,0.146,0.033,,,3900,1,individual_creativity,p<0.001
boussioux_etal_2024,5,Overall Quality (HAI vs HC),Human-AI,Human Crowd,Quality (1-5),cohens_d,0.108,0.032,,,3900,1,individual_creativity,p=0.002
boussioux_etal_2024,6,Top Novelty (HAI vs HC),Human-AI,Human Crowd,P(rating=5) for Novelty,raw_mean,-0.079,0.012,,,3900,-1,individual_creativity,7.9pp less; humans dominate tail; p<0.001
boussioux_etal_2024,7,Top Quality (HAI vs HC),Human-AI,Human Crowd,P(rating=5) for Quality,raw_mean,-0.008,0.012,,,3900,0,individual_creativity,ns
boussioux_etal_2024,8,Novelty — HAI Multiple Instance vs HC,HAI Multiple Instance (independent search),Human Crowd,Novelty (1-5),cohens_d,-0.256,0.039,,,,-1,homogenization,-0.217 raw; AI converges to mean
boussioux_etal_2024,9,Novelty — HAI Single Instance vs HC,HAI Single Instance (differentiated search),Human Crowd,Novelty (1-5),cohens_d,-0.036,0.039,,,,0,individual_creativity,Differentiation prompts eliminate gap; p=0.156
boussioux_etal_2024,10,Novelty — SI vs MI,Single Instance,Multiple Instance,Novelty (1-5),cohens_d,0.235,,,,,1,diversity,Differentiation prompts boost novelty; p<0.001
boussioux_etal_2024,11,Quality — SI vs MI,Single Instance,Multiple Instance,Quality (1-5),cohens_d,0.123,,,,,1,individual_creativity,p<0.001
boussioux_etal_2024,12,Strategic Viability — SI vs HC,Single Instance,Human Crowd,Strategic Viability,cohens_d,0.123,0.041,,,,1,individual_creativity,
boussioux_etal_2024,13,Quality — SI vs HC,Single Instance,Human Crowd,Quality,cohens_d,0.17,0.036,,,,1,individual_creativity,
boussioux_etal_2024,14,Top Novelty — MI vs HC,Multiple Instance,Human Crowd,P(Top Novelty),raw_mean,-0.091,0.014,,,,-1,homogenization,9.1pp less; tail novelty
boussioux_etal_2024,15,Top Novelty — SI vs HC,Single Instance,Human Crowd,P(Top Novelty),raw_mean,-0.065,0.014,,,,-1,homogenization,6.5pp less
boussioux_etal_2024,16,Top-decile Novelty (raw),HAI (MI or SI),HC top decile,Novelty within top-decile solutions,raw_mean,-0.4,,,,,-1,homogenization,HC 4.36 vs MI 3.90 vs SI 4.00; gap at the tail
girotra_etal_2023,1,Quality — zero-shot GPT-4 vs human,GPT-4 zero-shot,Human (student),Avg purchase intent (Jameson-Bass),raw_mean,0.059,,0.031,0.088,400,1,individual_creativity,"0.464 vs 0.404; t(246)=4.06, p<0.001"
girotra_etal_2023,2,Quality — few-shot GPT-4 vs human,GPT-4 few-shot,Human,Avg purchase intent,raw_mean,0.089,,0.06,0.12,400,1,individual_creativity,p<0.001
girotra_etal_2023,3,Quality — few-shot vs zero-shot,GPT-4 few-shot,GPT-4 zero-shot,Purchase intent,raw_mean,0.03,,-0.01,0.06,200,1,individual_creativity,Few-shot edge; p=0.06
girotra_etal_2023,4,Pairwise cosine similarity (overall),GPT-4 (combined),Human,Avg pairwise cosine (USE embeddings),pairwise_cosine,0.20099999999999998,,,,,-1,homogenization,"Human 0.22 vs GPT-4 ~0.42; F=12340, η²=0.455"
girotra_etal_2023,5,Fraction overlapping (cosine>0.8),GPT-4 zero/few-shot,Human,Fraction overlapping ideas,other,0.06,,,,,-1,homogenization,Human 0% vs zero 5% vs few-shot 7%; p<0.001
girotra_etal_2023,6,Opportunity space size (T),GPT-4 zero/few-shot,Human,Capture-recapture T estimate,other,-700,,,,,-1,diversity,"zero-shot T=966, few-shot T=680, humans=∞"
girotra_etal_2023,7,MST mean edge distance,GPT-4 zero/few-shot,Human,Mean MST edge length (512-dim),other,-0.21000000000000002,,,,,-1,homogenization,Human 0.53 vs zero 0.33 vs few 0.30
girotra_etal_2023,8,Perceived novelty — zero-shot,GPT-4 zero-shot,Human,Perceived novelty (Shibayama),raw_mean,-0.038,,-0.066,-0.01,400,-1,individual_creativity,"t(269)=-2.67, p=0.008"
girotra_etal_2023,9,Perceived novelty — few-shot,GPT-4 few-shot,Human,Perceived novelty,raw_mean,-0.049,,-0.078,-0.02,400,-1,individual_creativity,p<0.001
girotra_etal_2023,10,Top-decile concentration,GPT-4 (combined),Human,Share of top 40/400 ideas,other,30,,,,400,1,individual_creativity,"AI 35 (87.5%) vs Human 5 (12.5%); χ²=26, p<0.001"
girotra_etal_2023,11,Top-5% concentration,GPT-4,Human,Share of top 20/400,other,18,,,,400,1,individual_creativity,AI 19 vs Human 1
girotra_etal_2023,12,Top-15% concentration,GPT-4,Human,Share of top 60/400,other,38,,,,400,1,individual_creativity,AI 49 vs Human 11
girotra_etal_2023,13,Quantile regression — 90th percentile,GPT-4,Human,Quality at q=0.9,other,0.318,,0.191,0.446,400,1,individual_creativity,q=0.8 also +0.445
girotra_etal_2023,14,Idea generation rate,GPT-4 (with human),Human alone,Ideas per 15 min,other,195,,,,,1,idea_quantity,~40:1 ratio
