estimate_id,paper_key,study_label,effect_size_sd,se,ci_lower,ci_upper,learning_domain,outcome,outcome_timing,n_treatment,n_control,n_total,treatment,control,notes,included_in_curated_subset,coding_notes,is_own_paper,comparison_type,outcome_with_ai,is_subgroup,subgroup,estimation_method,estimand,design_class
xu_etal_2025__est50,xu_etal_2025,"Xu et al., Academic achievement (posttest, ANCOVA a",0.36,,,,General knowledge,"Academic achievement (posttest, ANCOVA adjusted)",immediate,35,33,68,GenAI (ChatGPT 4.0) + metacognitive support,GenAI (ChatGPT 4.0) without metacognitive support,"Both groups used ChatGPT; treatment = metacognitive prompts. F=3.939, p=0.051; paper reports no SE for Cohen's d (Table 2's 0.997 is the adjusted-mean SE in raw points). 4-week experiment.",false,not RCT,false,ai_design,false,false,,ANCOVA (pre-test covariate),ATE (complete-case),observational
xu_etal_2025__est51,xu_etal_2025,"Xu et al., SRL: task strategy",0.69,,,,General knowledge,SRL: task strategy,immediate,35,33,68,GenAI (ChatGPT 4.0) + metacognitive support,GenAI (ChatGPT 4.0) without metacognitive support,Both groups used ChatGPT; treatment = metacognitive prompts. d from t=2.833.,false,not RCT; no SE/CI; non-standard outcome,false,ai_design,false,false,,t-test (independent-samples mean comparison),ATE (complete-case),observational
chung_etal_2025__est52,chung_etal_2025,"Chung et al., Standardized in-person final Python cert",0.156,0.072,,,Math,Standardized in-person final Python certification exam (no AI/devices allowed),immediate,,,770,Personalized problem sequencing (POMDP-based RL adaptive algorithm) + GenAI chatbot tutor,Fixed problem sequence (easy-to-hard) + same GenAI chatbot tutor,"Active control: both arms have same GenAI chatbot; randomization is over adaptive (POMDP+RL) vs. fixed problem sequencing, not AI access. 5-month course in partnership with Taipei City Government. Spec (1): no controls, N=770. Certification exam was the end-of-course terminal assessment of the ~5-month course (June 2025), coded immediate per the atlas convention.",false,active control,false,ai_design,false,false,,OLS,ITT,field_rct
chung_etal_2025__est53,chung_etal_2025,"Chung et al., Standardized in-person final Python cert",0.15,0.067,,,Math,Standardized in-person final Python certification exam (no AI/devices allowed),immediate,,,716,Personalized problem sequencing (POMDP-based RL adaptive algorithm) + GenAI chatbot tutor,Fixed problem sequence (easy-to-hard) + same GenAI chatbot tutor,"Active control: both arms have same GenAI chatbot; randomization is over adaptive (POMDP+RL) vs. fixed problem sequencing, not AI access. 5-month course in partnership with Taipei City Government. Spec (2): baseline controls + school FE + grade FE, N=716. Certification exam was the end-of-course terminal assessment of the ~5-month course (June 2025), coded immediate per the atlas convention.",false,active control,false,ai_design,false,false,,OLS,ITT,field_rct
liu_etal_2026__est54,liu_etal_2026,"Liu et al., Exp 1 (Math)",-0.42,0.12,-0.66,-0.19,Math,"Unassisted solve rate, 3 fraction problems (Exp 1)",immediate,185,122,307,GPT-5 sidebar access during learning phase,No AI access,Pre-exclusion N=354. Test = 3 fraction problems with AI removed. Skip rate d=+0.25.,true,,false,ai_vs_bau,false,false,,t-test (mean comparison),ATE (complete-case),online_rct
liu_etal_2026__est55,liu_etal_2026,"Liu et al., Exp 2 (Math)",-0.19,0.084,-0.36,-0.03,Math,"Unassisted solve rate, 3 fraction problems (Exp 2 replication)",immediate,308,277,585,GPT-5 sidebar access during learning phase,"No AI, with reference sidebar (to match interface)",Pre-exclusion N=667. Exp 2 adds pretest-based exclusions and matched-interface control. Skip rate not significant.,true,,false,ai_vs_bau,false,false,,t-test (mean comparison),ITT,online_rct
liu_etal_2026__est56,liu_etal_2026,"Liu et al., Exp 3 (Reading)",-0.42,0.158,-0.73,-0.11,Language,"Unassisted solve rate, 3 SAT reading-comprehension problems (Exp 3)",immediate,85,83,168,GPT-5 sidebar access during learning phase,"No AI, with test-tips sidebar (matched)",Pre-exclusion N=201. Replication in reading-comprehension domain. Skip rate d=+0.42.,true,,false,ai_vs_active,false,false,,t-test (mean comparison),ITT,online_rct
shen_and_tamkin_2026__est57,shen_and_tamkin_2026,Shen & Tamkin,-0.738,0.287,-1.3,-0.176,Coding,"Comprehension / code-reading / debugging quiz, no AI",immediate,26,26,52,GPT-4o coding assistant during Trio task,No AI,35-min coding task with AI; 14-question (27-point) quiz w/o AI. No significant productivity gain. SE back-calculated from d and N.,true,SE back-calculated from N and Cohen's d,false,ai_vs_bau,false,false,,t-test (mean comparison),ITT,online_rct
ba_etal_2024__est58,ba_etal_2024,"Ba et al., pediatrics",-0.067,0.228,-0.51,0.38,Medicine,closed-book theoretical knowledge exam (unassisted),immediate,39,38,77,"ChatGPT-assisted instruction (2 weeks, pediatric cardiology rotation)",standard bedside teaching (identical cases/instructors),"Theoretical exam near ceiling: ChatGPT 92.21±2.37 vs traditional 92.38±2.68 (of 100), t=0.295, p=0.768. Cohen's d back-calculated from group means/SDs (d=-0.067, SE=0.228); source meta-analysis forest plot reports Hedges g=-0.07, 95% CI [-0.51,0.38]. Mini-CEX clinical-skills outcomes favored ChatGPT (clinical judgment p=0.032, doctor-patient communication p=0.02, professionalism p=0.022, overall competence p=0.006) but are reported categorically (cases/%), not SMD-extractable. ChatGPT v4.0; single-center; 2-week rotation; no long-term retention wave.",true,post-test means near scale maximum (~92/100); d back-calculated from means/SDs,false,ai_vs_bau,false,false,,"Independent-samples t-test comparing post-rotation closed-book exam scores between arms; Cohen's d and SE back-calculated from reported group means/SDs (d=-0.067, SE=0.228).",ATE (complete-case),field_rct
bassner_etal_2026__est59,bassner_etal_2026,"Bassner et al., Iris tutor",-0.073,0.146,-0.359,0.213,Coding,"Knowledge gain (KAT pre-post, 6-item concurrency test, 0-6)",immediate,91,96,275,Iris scaffolded LLM tutor (calibrated hints; GPT-4.0; withholds full solutions),No-AI control (lecture slides + web resources; AI tools prohibited and monitored),"Meta-analyst-computed Cohen's d on the KAT pre-post gain, standardized by the pooled pre-test SD (Morris dppc2); raw gain 0.71 (Iris) vs 0.85 (control) on a 6-item test. Paper reports only the omnibus repeated-measures ANOVA: Group x Time F=0.26, p=.773 (no differential learning), with a significant main effect of time F=88.23, p<.001 (all arms learned). CI is a normal-approx d +/- 1.96*SE. Negative sign = slightly smaller gain than control, not significant.",true,39% post-randomization exclusions (retention 65/61/57% by arm; asymmetric chat-history rule); 6-item knowledge test,false,ai_vs_bau,false,false,,"Meta-analyst-computed Cohen's d on KAT pre-post gain, standardized by pooled pre-test SD (Morris dppc2); SE from large-sample d formula; paper reports repeated-measures ANOVA omnibus Group x Time F=0.26, p=.773",ATE (complete-case),field_rct
bassner_etal_2026__est60,bassner_etal_2026,"Bassner et al., ChatGPT",-0.011,0.148,-0.301,0.279,Coding,"Knowledge gain (KAT pre-post, 6-item concurrency test, 0-6)",immediate,88,96,275,Unrestricted ChatGPT (GPT-4.0; full solutions on demand),No-AI control (lecture slides + web resources; AI tools prohibited and monitored),"Meta-analyst-computed Cohen's d on the KAT pre-post gain, standardized by the pooled pre-test SD (Morris dppc2); raw gain 0.83 (ChatGPT) vs 0.85 (control) on a 6-item test. Omnibus Group x Time F=0.26, p=.773 (Table 6). A post-only knowledge comparison would be misleading because the ChatGPT arm began +0.41 points higher at baseline (T1: 2.33 vs 1.92 for control), so the pre-post gain is the appropriate contrast. CI is a normal-approx d +/- 1.96*SE.",true,39% post-randomization exclusions (retention 65/61/57% by arm; asymmetric chat-history rule); 6-item knowledge test,false,ai_vs_bau,false,false,,"Meta-analyst-computed Cohen's d on KAT pre-post gain, standardized by pooled pre-test SD (Morris dppc2); SE from large-sample d formula; omnibus Group x Time F=0.26, p=.773",ATE (complete-case),field_rct
bassner_etal_2026__est61,bassner_etal_2026,"Bassner et al., Code comprehension (post-only, 3 fill-in",0.284,0.147,-0.004,0.572,Coding,"Code comprehension (post-only, 3 fill-in-the-gap items, 0-3)",immediate,91,96,275,Iris scaffolded LLM tutor (calibrated hints; GPT-4.0; withholds full solutions),No-AI control (lecture slides + web resources; AI tools prohibited and monitored),"Meta-analyst-computed Cohen's d on post-only code-comprehension means/SDs (pooled-SD standardized); 1.43 (Iris) vs 1.18 (control) on a 0-3 test. Paper reports the omnibus one-way ANOVA F=2.01, eta_g^2=.015, p=.136 (no significant group difference). Post-only measure (no pre-test for code comprehension). CI is a normal-approx d +/- 1.96*SE.",false,39% post-randomization exclusions (retention 65/61/57% by arm; asymmetric chat-history rule); 3-item code-comprehension test,false,ai_vs_bau,false,false,,"Meta-analyst-computed Cohen's d on post-only code-comprehension means/SDs (pooled-SD standardized); SE from large-sample d formula; paper reports one-way ANOVA omnibus F=2.01, p=.136",ATE (complete-case),field_rct
bassner_etal_2026__est62,bassner_etal_2026,"Bassner et al., Code comprehension (post-only, 3 fill-in",0.2,0.148,-0.09,0.49,Coding,"Code comprehension (post-only, 3 fill-in-the-gap items, 0-3)",immediate,88,96,275,Unrestricted ChatGPT (GPT-4.0; full solutions on demand),No-AI control (lecture slides + web resources; AI tools prohibited and monitored),"Meta-analyst-computed Cohen's d on post-only code-comprehension means/SDs (pooled-SD standardized); 1.36 (ChatGPT) vs 1.18 (control) on a 0-3 test. Omnibus one-way ANOVA F=2.01, p=.136 (Table 4). Post-only measure. CI is a normal-approx d +/- 1.96*SE.",false,39% post-randomization exclusions (retention 65/61/57% by arm; asymmetric chat-history rule); 3-item code-comprehension test,false,ai_vs_bau,false,false,,"Meta-analyst-computed Cohen's d on post-only code-comprehension means/SDs (pooled-SD standardized); SE from large-sample d formula; omnibus one-way ANOVA F=2.01, p=.136",ATE (complete-case),field_rct
bassner_etal_2026__est63,bassner_etal_2026,"Bassner et al., Exercise performance (% of auto-graded t",1.1,0.158,0.79,1.41,Coding,Exercise performance (% of auto-graded test cases passed; measured with AI in hand),immediate,88,96,275,Unrestricted ChatGPT (GPT-4.0; full solutions on demand),No-AI control (lecture slides + web resources; AI tools prohibited and monitored),"Outcome measured WITH AI in hand (cognitive offloading), so it reflects task completion, not unaided learning. ChatGPT 71.84% (SD 39.65) vs control 29.85% (SD 36.17) of auto-graded test cases passed; Tukey HSD mean difference 41.988, p<.001. Effect is the paper's reported Cohen's d=1.10 (Table 5 cell; caption states d=1.12; per-arm pooled-SD computation gives approx 1.11). Omnibus one-way ANOVA on exercise performance F=29.69, eta_g^2=.179, p<.001. Exercise duration did not differ across arms (~88-91 min), so AI raised efficiency, not time on task. SE from the large-sample d formula; CI is a normal-approx d +/- 1.96*SE.",false,39% post-randomization exclusions (retention 65/61/57% by arm; asymmetric chat-history rule); outcome measured with AI available,false,ai_vs_bau,true,false,,"Paper-reported Cohen's d from Tukey HSD post-hoc (ChatGPT vs no-AI, Table 5); SE from large-sample d formula; omnibus one-way ANOVA F=29.69, eta_g^2=.179, p<.001",ATE (complete-case),field_rct
bassner_etal_2026__est84,bassner_etal_2026,"Bassner et al., Exercise performance (% of auto-graded t",0.752,0.151,,,Coding,Exercise performance (% of auto-graded test cases passed; measured with AI in hand),immediate,91,96,275,Iris scaffolded LLM tutor (calibrated hints; GPT-4.0; withholds full solutions),No-AI control (lecture slides + web resources; AI tools prohibited and monitored),"Outcome measured WITH AI in hand (Iris is scoped to the exercise page). Iris 57.50% (SD 37.36) vs control 29.85% (SD 36.17); Tukey HSD mean difference 27.649, p<.001 (Table 5, which prints d=0.76 rounded); d=0.752 recomputed exactly from Table 4 means/SDs, SE 0.151 (n=91/96). Row added in the 2026-07 W. Erda verification round: previously only the ChatGPT-arm exercise estimate (est63) was recorded.",false,39% post-randomization exclusions (retention 65/61/57% by arm; asymmetric chat-history rule); outcome measured with AI available,false,ai_vs_bau,true,false,,One-way ANOVA with Tukey HSD post-hoc on exercise performance; Cohen's d from group means/SDs,ATE (complete-case),field_rct
dai_etal_2025__est64,dai_etal_2025,"Dai et al., Exp 1",0.212,0.154,,,Science,"School's regular end-of-term physics exam, standardized (z-score); taken unassisted (AI available only during study/homework)",immediate,42,41,121,Exp 1: personalized recommendation of previously-missed problems with GAI heuristic hints plus workbook answers (compulsory use),Group C1: no recommendations (no-intervention control); students still marked and submitted homework errors,"Table 1, col (1), Treatment A row. Coefficient = Cohen's d (outcome z-scored). n.s. (p>0.10). Contrast n=83 (A 42 + C1 41); regression N=121 also includes non-AI active-comparison arm B (workbook-only recommendation, coef 0.051). Controls: pretest score, pretest SRL, class fixed effects; robust SEs at individual level. Attrition: 160 recruited to 121 valid pre+post (76% retained). Secondary/subgroup finding: low-achievers improved d=0.673 (p<0.05); no full-sample achievement effect.",true,substantial attrition (24-29%); single school,false,ai_vs_bau,false,false,,"OLS on z-scored final exam; controls for pretest score, pretest SRL, class fixed effects; robust SEs at individual level (unit of randomization)",ATE (complete-case),field_rct
dai_etal_2025__est65,dai_etal_2025,"Dai et al., Exp 2 student choice",0.032,0.094,,,Science,"School's regular end-of-term physics exam, standardized (z-score); taken unassisted (AI available only during study/homework)",immediate,87,91,266,Exp 2 on-demand AI help; student chooses feedback type (full learner control),Group C2: no intervention (identical loose-leaf notebook without physics materials),"Table 3, col (1), Treatment D row (on-demand help, full learner control of feedback type: hints, concept explanations, or extra practice). Coefficient = Cohen's d. n.s. (p>0.10). Contrast n=178 (D 87 + C2 91); regression N=266 also includes arm E. Controls: pretest score, pretest learner autonomy, class fixed effects; robust SEs at individual level. Attrition: 373 recruited to 266 valid (71% retained). Secondary/subgroup finding: high-achievers improved d=0.378 (p<0.05); learner autonomy declined full-sample d=-0.274 (p<0.05).",true,substantial attrition (24-29%); single school,false,ai_vs_bau,false,false,,"OLS on z-scored final exam; controls for pretest score, pretest learner autonomy, class fixed effects; robust SEs at individual level (unit of randomization)",ATE (complete-case),field_rct
dai_etal_2025__est66,dai_etal_2025,"Dai et al., Exp 2 system choice",0.111,0.098,,,Science,"School's regular end-of-term physics exam, standardized (z-score); taken unassisted (AI available only during study/homework)",immediate,88,91,266,Exp 2 on-demand AI help; system chooses feedback type (shared control),Group C2: no intervention (identical loose-leaf notebook without physics materials),"Table 3, col (1), Treatment E row (on-demand help, shared control: student raises a question, a learning-factor decay algorithm chooses the feedback type). Coefficient = Cohen's d. n.s. (p>0.10). Contrast n=179 (E 88 + C2 91); regression N=266 also includes arm D. Controls: pretest score, pretest learner autonomy, class fixed effects; robust SEs at individual level. Group E was null in the full sample and every achievement subgroup, and had no significant autonomy effect.",true,substantial attrition (24-29%); single school,false,ai_vs_bau,false,false,,"OLS on z-scored final exam; controls for pretest score, pretest learner autonomy, class fixed effects; robust SEs at individual level (unit of randomization)",ATE (complete-case),field_rct
fischer_etal_2025__est67,fischer_etal_2025,"Fischer et al., unrestricted AI",0.337,0.116,,,Economics,"Standardized score on an incentivized, unassisted 25-item multiple-choice exam on two Varian microeconomics excerpts (Test 2); no textbook or AI access during the test",immediate,102,112,334,Unrestricted AI tutor access (full AI chat and textbook throughout the 25-minute learning phase),"Textbook-only control: study the same PDF excerpt unaided for 25 minutes, no AI tutor","Table 1, Col. (2): preregistered covariate-adjusted OLS coefficient on standardized Test 2 (already in SD units); controls = Test 1 baseline score, Bachelor, field-of-study FE (9), semester FE (10), session FE (14); heteroskedasticity-robust SE. Significant at p<0.01. Text rounds to 0.34 SD (~8.6% higher than control). Contrast arms: unrestricted 102 vs control 112; the regression uses the full N=334 (control is the omitted category). Immediate post-test only; no delayed retention wave and no CIs reported. Also circulated as CRC TRR 190 DP 557; working paper, not yet peer-reviewed.",true,,false,ai_vs_bau,false,false,,"Covariate-adjusted OLS (Table 1, Col. 2); controls: Test 1 baseline score, Bachelor, field-of-study/semester/session FE; heteroskedasticity-robust SE",ITT,lab_rct
fischer_etal_2025__est68,fischer_etal_2025,"Fischer et al., restricted AI",0.132,0.122,,,Economics,"Standardized score on an incentivized, unassisted 25-item multiple-choice exam on two Varian microeconomics excerpts (Test 2); no textbook or AI access during the test",immediate,120,112,334,"Restricted AI tutor access (textbook only for the first 10 minutes, then AI chat unlocked plus textbook for the final 15 minutes)","Textbook-only control: study the same PDF excerpt unaided for 25 minutes, no AI tutor","Table 1, Col. (2): preregistered covariate-adjusted OLS coefficient on standardized Test 2; same controls and heteroskedasticity-robust SE as the unrestricted arm. Not statistically significant (p>0.10). Text rounds to 0.13 SD (~3.4% higher, n.s.). Restricted = textbook only for the first 10 min, AI+textbook for the final 15 min. Contrast arms: restricted 120 vs control 112; the regression uses the full N=334. Contrary to preregistered H2, restricted did NOT beat unrestricted (unrestricted was higher by 0.21 SD, F-test p=0.066). Immediate post-test only; no CIs reported.",true,,false,ai_vs_bau,false,false,,"Covariate-adjusted OLS (Table 1, Col. 2); controls: Test 1 baseline score, Bachelor, field-of-study/semester/session FE; heteroskedasticity-robust SE",ITT,lab_rct
fischer_etal_2025__est69,fischer_etal_2025,"Fischer et al., Standardized score on an incentivized, u",0.227,0.106,,,Economics,"Standardized score on an incentivized, unassisted 25-item multiple-choice exam on two Varian microeconomics excerpts (Test 2); no textbook or AI access during the test",immediate,222,112,334,"Any AI tutor access, pooling both AI treatment arms vs textbook-only control","Textbook-only control: study the same PDF excerpt unaided for 25 minutes, no AI tutor","Table 1, Col. (1): preregistered covariate-adjusted OLS coefficient on standardized Test 2, pooling both AI arms (any AI) vs textbook-only control; same controls and heteroskedasticity-robust SE. Significant at p<0.05. Text rounds to 0.23 SD (~5.8% higher). Confirms preregistered H1. Contrast arms: any-AI 222 (=102 unrestricted + 120 restricted) vs control 112; regression N=334. Immediate post-test only; no CIs reported.",false,,false,ai_vs_bau,false,false,,"Covariate-adjusted OLS (Table 1, Col. 1); controls: Test 1 baseline score, Bachelor, field-of-study/semester/session FE; heteroskedasticity-robust SE",ITT,lab_rct
gan_etal_2024__est70,gan_etal_2024,"Gan et al., orthopedics",0.398,0.193,,,Medicine,Post-intervention 214-item orthopedics examination (unassisted post-test): number of MCQs answered correctly (max 214),immediate,54,56,110,ChatGPT-4 self-study: 1-week orthopedics review using only ChatGPT-4.0 (other search engines and message boards not allowed),Internet/forums self-study: 1-week orthopedics review using search engines and message boards; no OpenAI-connected software allowed,"129 assessed for eligibility; 4 excluded before randomization (2 not meeting criteria, 2 declining); 125 randomized (60 ChatGPT, 65 control; CONSORT Figure 1). 15 withdrew after randomization (7 initial study, 8 follow-up); 110 analyzed complete-case (54 ChatGPT, 56 control). No ITT analysis. Primary exam: ChatGPT 141.20 (SD 26.68) vs control 130.80 (SD 25.56); mean difference 10.40 with reported SE 4.98 (labeled 'SD' in the paper), P=.04; Cohen's d=0.398 (SE 0.193) back-calculated from per-arm means/SDs (pooled SD 26.12). PAPER TYPO: the Results body misprints the ChatGPT exam mean as 138.46 (SD 26.97); the abstract value 141.20 (SD 26.68) is the correct one (it reproduces the 10.40 difference and the 4.98 SE). Sub-scores favored ChatGPT on A1 (P=.01), A2 (P=.047), and A3/A4 (P=.002); case-analysis items non-significantly lower for ChatGPT (diff -1.04, P=.16). Unassisted post-test by design (formal examination separate from the learning-phase exercises), though the paper never states the exam was proctored/closed-book or that AI was barred during testing.",true,per-protocol (complete-case); d back-calculated,false,ai_vs_bau,false,false,,"Independent-samples 2-tailed t test on per-arm exam means (SPSS 26); Cohen's d=0.398 (SE 0.193) back-calculated from means/SDs (pooled SD 26.12); reported raw difference 10.40 with SE 4.98 (matches sqrt(26.68^2/54+25.56^2/56)=4.985), t=2.09, P=.04.",ATE (complete-case),field_rct
gan_etal_2024__est71,gan_etal_2024,"Gan et al., Downstream end-of-semester surgery final",0.446,0.193,,,Medicine,Downstream end-of-semester surgery final examination score (secondary long-term outcome),delayed,54,56,110,ChatGPT-4 self-study: 1-week orthopedics review using only ChatGPT-4.0 (other search engines and message boards not allowed),Internet/forums self-study: 1-week orthopedics review using search engines and message boards; no OpenAI-connected software allowed,"Secondary downstream end-of-semester final exams (same arms; 54 ChatGPT, 56 control), measured June 2023 with no additional intervention in the interim; 2 control students reported some LLM use, all ChatGPT-arm students used LLMs. Surgery significant: ChatGPT 76.54 (SD 9.79) vs control 72.54 (SD 8.11); diff 4.00 (SE 1.72), P=.02. OB/GYN also significant: 75.98 (SD 8.94) vs 72.54 (SD 8.66); diff 3.45 (SE 1.68), P=.04. Non-significant: internal medicine (diff 0.23, SE 1.58, P=.88); pediatrics (diff -1.58, SE 1.79, P=.38, ChatGPT lower); infectious diseases (diff 1.60, SE 1.75, P=.36). Total final-exam score diff 7.71 (SE 7.53), P=.31 (n.s.). Cohen's d=0.446 (SE 0.193) for the surgery exam back-calculated from per-arm means/SDs (76.54 (SD 9.79, n=54) vs 72.54 (SD 8.11, n=56); pooled SD 8.97); consistent with the reported diff 4.00 / SE 1.72 (t=2.33, P=.02). Added in the 2026-07 RA verification round. Final-exam scale not stated (scores ~72-77). SE values are the between-group difference SEs (paper labels them 'SD').",false,secondary/downstream outcome; per-protocol (complete-case); d back-calculated from means/SDs,false,ai_vs_bau,false,false,,"Independent-samples 2-tailed t test on per-arm surgery final-exam means (SPSS 26); reported raw mean difference 4.00 with SE 1.72 (labeled 'SD'), P=.02; no SD-scale effect computed (per-arm SDs available: 9.79 vs 8.11).",ATE (complete-case),field_rct
hou_etal_2026__est72,hou_etal_2026,"Hou et al., guided AI",0.864,0.266,,,Engineering,"Unassisted post-test total score (max 27): 9 MCQ (auto-scored) + 18 open-ended (human-scored by two blind raters, ICC=0.91), administered after the AI-assisted review phase",immediate,29,33,95,"Prompted (guided) AI review: RAG assistant use guided by a five-step Generative-Learning-Theory framework (Clarify, Organize, Integrate, Differentiate, Correct)","Continued slide/PowerPoint review of the same materials, independently, with no AI access","Total post-test (max 27 = 9 MCQ auto-scored + 18 open-ended human-scored). Guided/prompted AI (5-step GLT framework) vs slide-only control: 18.86 vs 15.35 (+3.51 points), d=0.864. Effect concentrated in open-ended reasoning (12.41 vs 9.68 on max 18, d~1.06; omnibus 3-group F=7.32, p=0.0011); no MCQ effect (6.45 vs 5.67, F=2.38, p=0.099, ns). SE(d)=0.266 back-calculated from Table 3 means/SDs/Ns; paper reports only omnibus one-way ANOVA (total F=6.82, p=0.0017), not pairwise tests. Contrast n=62 (29 prompted + 33 control); n_total=95 is the full analytic sample across all three arms. AI used only during the review phase; the post-test itself is unassisted. Post-test-only design (no pre-test covariate).",true,"back-calculated SEs; omnibus F reported, pairwise d derived; 20% excluded for incomplete data",false,ai_vs_bau,false,false,,"One-way three-group ANOVA on the total post-test (omnibus F=6.82, p=0.0017); pairwise Cohen's d for the prompted arm vs the slide-only control back-calculated from Table 3 means/SDs/Ns, SE(d) from the standard large-sample formula sqrt((n1+n2)/(n1*n2) + d^2/(2(n1+n2))). Complete-case analysis (95 of 119 retained; 24 dropped for incomplete data).",ATE (complete-case),lab_rct
hou_etal_2026__est73,hou_etal_2026,"Hou et al., unguided AI",0.093,0.246,,,Engineering,"Unassisted post-test total score (max 27): 9 MCQ (auto-scored) + 18 open-ended (human-scored by two blind raters, ICC=0.91), administered after the AI-assisted review phase",immediate,33,33,95,"Unprompted (free) AI review: students query the RAG assistant freely, with no structured prompts","Continued slide/PowerPoint review of the same materials, independently, with no AI access","Total post-test (max 27 = 9 MCQ + 18 open-ended). Unprompted/free AI (free-form querying of the RAG assistant, no structured prompts) vs slide-only control: 15.73 vs 15.35 (+0.38 points), d=0.093 -- essentially no effect. Open-ended 10.45 vs 9.68 (d~0.27); MCQ 5.27 vs 5.67 (d~-0.19). SE(d)=0.246 back-calculated from Table 3 means/SDs/Ns; paper reports only omnibus one-way ANOVA (total F=6.82, p=0.0017), not pairwise tests. Contrast n=66 (33 unprompted + 33 control); n_total=95 is the full analytic sample across all three arms. AI used only during the review phase; the post-test itself is unassisted. Free AI use was no better than slide-only review.",true,"back-calculated SEs; omnibus F reported, pairwise d derived; 20% excluded for incomplete data",false,ai_vs_bau,false,false,,"One-way three-group ANOVA on the total post-test (omnibus F=6.82, p=0.0017); pairwise Cohen's d for the unprompted arm vs the slide-only control back-calculated from Table 3 means/SDs/Ns, SE(d) from the standard large-sample formula sqrt((n1+n2)/(n1*n2) + d^2/(2(n1+n2))). Complete-case analysis (95 of 119 retained; 24 dropped for incomplete data).",ATE (complete-case),lab_rct
huang_etal_2025__est74,huang_etal_2025,"Huang et al., dental skills",0.669,0.15,0.375,0.963,Medicine,"Desktop-VR operative skill test (0-100, auto-scored by the VR system, taken unassisted within 15 min after 1-week training)",immediate,94,93,187,"ChatGPT-3.5 as a supplementary instructor added to instructional videos (free version; used during a 1-week skill-acquisition period to resolve doubts, verify procedures, and give extra guidance)",Instructional videos only (blank control),"ChatGPT-3.5 (free version) added to instructional videos vs identical videos only (blank control); ChatGPT is the sole additive difference. Raw operative-test scores 73.12 (SD 10.06) vs 65.54 (SD 12.48) on a 0-100 auto-scored desktop-VR task; mean diff 7.58 points, Welch t(176.24)=4.569, P<.001. N=187 analyzed (192 recruited, 5 excluded at eye-tracking calibration; 94 ChatGPT vs 93 control). Baseline theoretical-knowledge test balanced (41.24 vs 42.03, P=.52). No AI during the test (design inference; the paper does not explicitly state ChatGPT was blocked at test). Cohen's d=0.669, SE=0.150, 95% CI ~0.38-0.96 back-calculated from per-arm means/SDs/n; no author-reported standardized effect. Effect concentrated among low-spatial-ability students (70.20 vs 55.41, P<.001) and absent among high-spatial-ability students (76.58 vs 73.89, P=.22). Secondary outcomes favored ChatGPT: self-efficacy P=.04, learning motivation P=.02, cognitive load via pupil-diameter change 0.137 vs 0.312 P<.001.",true,d back-calculated from means/SDs,false,ai_vs_bau,false,false,,"Independent-samples Welch t test on post-test desktop-VR operative scores, t(176.24)=4.569, P<.001 (normality checked via Shapiro-Wilk); complete-case on the 187 students who passed eye-tracking calibration. Cohen's d and its SE (0.150) back-calculated from reported per-arm means, SDs, and n; no author-reported standardized effect.",ATE (complete-case),field_rct
kavadella_etal_2024__est75,kavadella_etal_2024,"Kavadella et al., dentistry",0.52,0.245,,,Medicine,"Unannounced, blind, unassisted 10-question MCQ knowledge exam (0-10 scale)",immediate,39,31,70,ChatGPT group used ChatGPT to research and compose a Radiation Biology & Protection learning assignment; logged and critiqued all LLM outputs against a textbook,Literature-research group searched the internet and scientific literature (the module's traditional method) to complete the same assignment,"77 students randomized (39 ChatGPT, 38 literature); 70 sat the unannounced exam (39 ChatGPT, 31 literature; 7 absent). Raw grades: ChatGPT mean 7.54 (SD 1.18) vs literature 6.94 (SD 1.12) on a 0-10 MCQ scale; 0.60-point gap; Mann-Whitney U p=.045. Cohen's d and SE back-calculated from means/SDs/n (paper reports no CI or standardized effect). Modest instrument (10 MCQs); grades ranged 5-10.",true,d back-calculated from means/SDs; 10-item multiple-choice exam,false,ai_vs_bau,false,false,,"Mann-Whitney U test on exam grades (nonparametric, SPSS v25); standardized effect (Cohen's d) and SE back-calculated from group means, SDs, and n. Complete-case: 70 of 77 randomized students sat the exam.",ATE (complete-case),field_rct
